congthuc
A*A*A/B
A*A*A/C
A*A*A/D
A*A*A/E
A*A*A/F
A*A*A/G
A*A*A/H
A*A*A/I
A*A*B/C
A*A*B/D
A*A*B/E
A*A*B/F
A*A*B/G
A*A*B/H
A*A*B/I
A*A*C/B
A*A*C/D
A*A*C/E
A*A*C/F
A*A*C/G
A*A*C/H
A*A*C/I
A*A*D/B
A*A*D/C
A*A*D/E
A*A*D/F
A*A*D/G
A*A*D/H
A*A*D/I
A*A*E/B
A*A*E/C
A*A*E/D
A*A*E/F
A*A*E/G
A*A*E/H
A*A*E/I
A*A*F/B
A*A*F/C
A*A*F/D
A*A*F/E
A*A*F/G
A*A*F/H
A*A*F/I
A*A*G/B
A*A*G/C
A*A*G/D
A*A*G/E
A*A*G/F
A*A*G/H
A*A*G/I
A*A*H/B
A*A*H/C
A*A*H/D
A*A*H/E
A*A*H/F
A*A*H/G
A*A*H/I
A*A*I/B
A*A*I/C
A*A*I/D
A*A*I/E
A*A*I/F
A*A*I/G
A*A*I/H
A*B*B/C
A*B*B/D
A*B*B/E
A*B*B/F
A*B*B/G
A*B*B/H
A*B*B/I
A*B*C/D
A*B*C/E
A*B*C/F
A*B*C/G
A*B*C/H
A*B*C/I
A*B*D/C
A*B*D/E
A*B*D/F
A*B*D/G
A*B*D/H
A*B*D/I
A*B*E/C
A*B*E/D
A*B*E/F
A*B*E/G
A*B*E/H
A*B*E/I
A*B*F/C
A*B*F/D
A*B*F/E
A*B*F/G
A*B*F/H
A*B*F/I
A*B*G/C
A*B*G/D
A*B*G/E
A*B*G/F
A*B*G/H
A*B*G/I
A*B*H/C
A*B*H/D
A*B*H/E
A*B*H/F
A*B*H/G
A*B*H/I
A*B*I/C
A*B*I/D
A*B*I/E
A*B*I/F
A*B*I/G
A*B*I/H
A*C*C/B
A*C*C/D
A*C*C/E
A*C*C/F
A*C*C/G
A*C*C/H
A*C*C/I
A*C*D/B
A*C*D/E
A*C*D/F
A*C*D/G
A*C*D/H
A*C*D/I
A*C*E/B
A*C*E/D
A*C*E/F
A*C*E/G
A*C*E/H
A*C*E/I
A*C*F/B
A*C*F/D
A*C*F/E
A*C*F/G
A*C*F/H
A*C*F/I
A*C*G/B
A*C*G/D
A*C*G/E
A*C*G/F
A*C*G/H
A*C*G/I
A*C*H/B
A*C*H/D
A*C*H/E
A*C*H/F
A*C*H/G
A*C*H/I
A*C*I/B
A*C*I/D
A*C*I/E
A*C*I/F
A*C*I/G
A*C*I/H
A*D*D/B
A*D*D/C
A*D*D/E
A*D*D/F
A*D*D/G
A*D*D/H
A*D*D/I
A*D*E/B
A*D*E/C
A*D*E/F
A*D*E/G
A*D*E/H
A*D*E/I
A*D*F/B
A*D*F/C
A*D*F/E
A*D*F/G
A*D*F/H
A*D*F/I
A*D*G/B
A*D*G/C
A*D*G/E
A*D*G/F
A*D*G/H
A*D*G/I
A*D*H/B
A*D*H/C
A*D*H/E
A*D*H/F
A*D*H/G
A*D*H/I
A*D*I/B
A*D*I/C
A*D*I/E
A*D*I/F
A*D*I/G
A*D*I/H
A*E*E/B
A*E*E/C
A*E*E/D
A*E*E/F
A*E*E/G
A*E*E/H
A*E*E/I
A*E*F/B
A*E*F/C
A*E*F/D
A*E*F/G
A*E*F/H
A*E*F/I
A*E*G/B
A*E*G/C
A*E*G/D
A*E*G/F
A*E*G/H
A*E*G/I
A*E*H/B
A*E*H/C
A*E*H/D
A*E*H/F
A*E*H/G
A*E*H/I
A*E*I/B
A*E*I/C
A*E*I/D
A*E*I/F
A*E*I/G
A*E*I/H
A*F*F/B
A*F*F/C
A*F*F/D
A*F*F/E
A*F*F/G
A*F*F/H
A*F*F/I
A*F*G/B
A*F*G/C
A*F*G/D
A*F*G/E
A*F*G/H
A*F*G/I
A*F*H/B
A*F*H/C
A*F*H/D
A*F*H/E
A*F*H/G
A*F*H/I
A*F*I/B
A*F*I/C
A*F*I/D
A*F*I/E
A*F*I/G
A*F*I/H
A*G*G/B
A*G*G/C
A*G*G/D
A*G*G/E
A*G*G/F
A*G*G/H
A*G*G/I
A*G*H/B
A*G*H/C
A*G*H/D
A*G*H/E
A*G*H/F
A*G*H/I
A*G*I/B
A*G*I/C
A*G*I/D
A*G*I/E
A*G*I/F
A*G*I/H
A*H*H/B
A*H*H/C
A*H*H/D
A*H*H/E
A*H*H/F
A*H*H/G
A*H*H/I
A*H*I/B
A*H*I/C
A*H*I/D
A*H*I/E
A*H*I/F
A*H*I/G
A*I*I/B
A*I*I/C
A*I*I/D
A*I*I/E
A*I*I/F
A*I*I/G
A*I*I/H
B*B*B/A
B*B*B/C
B*B*B/D
B*B*B/E
B*B*B/F
B*B*B/G
B*B*B/H
B*B*B/I
B*B*C/A
B*B*C/D
B*B*C/E
B*B*C/F
B*B*C/G
B*B*C/H
B*B*C/I
B*B*D/A
B*B*D/C
B*B*D/E
B*B*D/F
B*B*D/G
B*B*D/H
B*B*D/I
B*B*E/A
B*B*E/C
B*B*E/D
B*B*E/F
B*B*E/G
B*B*E/H
B*B*E/I
B*B*F/A
B*B*F/C
B*B*F/D
B*B*F/E
B*B*F/G
B*B*F/H
B*B*F/I
B*B*G/A
B*B*G/C
B*B*G/D
B*B*G/E
B*B*G/F
B*B*G/H
B*B*G/I
B*B*H/A
B*B*H/C
B*B*H/D
B*B*H/E
B*B*H/F
B*B*H/G
B*B*H/I
B*B*I/A
B*B*I/C
B*B*I/D
B*B*I/E
B*B*I/F
