congthuc
A*A*A*A
A*A*A*B
A*A*A*C
A*A*A*D
A*A*A*E
A*A*A*F
A*A*A*G
A*A*A*H
A*A*A*I
A*A*B*B
A*A*B*C
A*A*B*D
A*A*B*E
A*A*B*F
A*A*B*G
A*A*B*H
A*A*B*I
A*A*C*C
A*A*C*D
A*A*C*E
A*A*C*F
A*A*C*G
A*A*C*H
A*A*C*I
A*A*D*D
A*A*D*E
A*A*D*F
A*A*D*G
A*A*D*H
A*A*D*I
A*A*E*E
A*A*E*F
A*A*E*G
A*A*E*H
A*A*E*I
A*A*F*F
A*A*F*G
A*A*F*H
A*A*F*I
A*A*G*G
A*A*G*H
A*A*G*I
A*A*H*H
A*A*H*I
A*A*I*I
A*B*B*B
A*B*B*C
A*B*B*D
A*B*B*E
A*B*B*F
A*B*B*G
A*B*B*H
A*B*B*I
A*B*C*C
A*B*C*D
A*B*C*E
A*B*C*F
A*B*C*G
A*B*C*H
A*B*C*I
A*B*D*D
A*B*D*E
A*B*D*F
A*B*D*G
A*B*D*H
A*B*D*I
A*B*E*E
A*B*E*F
A*B*E*G
A*B*E*H
A*B*E*I
A*B*F*F
A*B*F*G
A*B*F*H
A*B*F*I
A*B*G*G
A*B*G*H
A*B*G*I
A*B*H*H
A*B*H*I
A*B*I*I
A*C*C*C
A*C*C*D
A*C*C*E
A*C*C*F
A*C*C*G
A*C*C*H
A*C*C*I
A*C*D*D
A*C*D*E
A*C*D*F
A*C*D*G
A*C*D*H
A*C*D*I
A*C*E*E
A*C*E*F
A*C*E*G
A*C*E*H
A*C*E*I
A*C*F*F
A*C*F*G
A*C*F*H
A*C*F*I
A*C*G*G
A*C*G*H
A*C*G*I
A*C*H*H
A*C*H*I
A*C*I*I
A*D*D*D
A*D*D*E
A*D*D*F
A*D*D*G
A*D*D*H
A*D*D*I
A*D*E*E
A*D*E*F
A*D*E*G
A*D*E*H
A*D*E*I
A*D*F*F
A*D*F*G
A*D*F*H
A*D*F*I
A*D*G*G
A*D*G*H
A*D*G*I
A*D*H*H
A*D*H*I
A*D*I*I
A*E*E*E
A*E*E*F
A*E*E*G
A*E*E*H
A*E*E*I
A*E*F*F
A*E*F*G
A*E*F*H
A*E*F*I
A*E*G*G
A*E*G*H
A*E*G*I
A*E*H*H
A*E*H*I
A*E*I*I
A*F*F*F
A*F*F*G
A*F*F*H
A*F*F*I
A*F*G*G
A*F*G*H
A*F*G*I
A*F*H*H
A*F*H*I
A*F*I*I
A*G*G*G
A*G*G*H
A*G*G*I
A*G*H*H
A*G*H*I
A*G*I*I
A*H*H*H
A*H*H*I
A*H*I*I
A*I*I*I
B*B*B*B
B*B*B*C
B*B*B*D
B*B*B*E
B*B*B*F
B*B*B*G
B*B*B*H
B*B*B*I
B*B*C*C
B*B*C*D
B*B*C*E
B*B*C*F
B*B*C*G
B*B*C*H
B*B*C*I
B*B*D*D
B*B*D*E
B*B*D*F
B*B*D*G
B*B*D*H
B*B*D*I
B*B*E*E
B*B*E*F
B*B*E*G
B*B*E*H
B*B*E*I
B*B*F*F
B*B*F*G
B*B*F*H
B*B*F*I
B*B*G*G
B*B*G*H
B*B*G*I
B*B*H*H
B*B*H*I
B*B*I*I
B*C*C*C
B*C*C*D
B*C*C*E
B*C*C*F
B*C*C*G
B*C*C*H
B*C*C*I
B*C*D*D
B*C*D*E
B*C*D*F
B*C*D*G
B*C*D*H
