congthuc
A*A/B/B
A*A/B/C
A*A/B/D
A*A/B/E
A*A/B/F
A*A/B/G
A*A/B/H
A*A/B/I
A*A/C/C
A*A/C/D
A*A/C/E
A*A/C/F
A*A/C/G
A*A/C/H
A*A/C/I
A*A/D/D
A*A/D/E
A*A/D/F
A*A/D/G
A*A/D/H
A*A/D/I
A*A/E/E
A*A/E/F
A*A/E/G
A*A/E/H
A*A/E/I
A*A/F/F
A*A/F/G
A*A/F/H
A*A/F/I
A*A/G/G
A*A/G/H
A*A/G/I
A*A/H/H
A*A/H/I
A*A/I/I
A*B/C/C
A*B/C/D
A*B/C/E
A*B/C/F
A*B/C/G
A*B/C/H
A*B/C/I
A*B/D/D
A*B/D/E
A*B/D/F
A*B/D/G
A*B/D/H
A*B/D/I
A*B/E/E
A*B/E/F
A*B/E/G
A*B/E/H
A*B/E/I
A*B/F/F
A*B/F/G
A*B/F/H
A*B/F/I
A*B/G/G
A*B/G/H
A*B/G/I
A*B/H/H
A*B/H/I
A*B/I/I
A*C/B/B
A*C/B/D
A*C/B/E
A*C/B/F
A*C/B/G
A*C/B/H
A*C/B/I
A*C/D/D
A*C/D/E
A*C/D/F
A*C/D/G
A*C/D/H
A*C/D/I
A*C/E/E
A*C/E/F
A*C/E/G
A*C/E/H
A*C/E/I
A*C/F/F
A*C/F/G
A*C/F/H
A*C/F/I
A*C/G/G
A*C/G/H
A*C/G/I
A*C/H/H
A*C/H/I
A*C/I/I
A*D/B/B
A*D/B/C
A*D/B/E
A*D/B/F
A*D/B/G
A*D/B/H
A*D/B/I
A*D/C/C
A*D/C/E
A*D/C/F
A*D/C/G
A*D/C/H
A*D/C/I
A*D/E/E
A*D/E/F
A*D/E/G
A*D/E/H
A*D/E/I
A*D/F/F
A*D/F/G
A*D/F/H
A*D/F/I
A*D/G/G
A*D/G/H
A*D/G/I
A*D/H/H
A*D/H/I
A*D/I/I
A*E/B/B
A*E/B/C
A*E/B/D
A*E/B/F
A*E/B/G
A*E/B/H
A*E/B/I
A*E/C/C
A*E/C/D
A*E/C/F
A*E/C/G
A*E/C/H
A*E/C/I
A*E/D/D
A*E/D/F
A*E/D/G
A*E/D/H
A*E/D/I
A*E/F/F
A*E/F/G
A*E/F/H
A*E/F/I
A*E/G/G
A*E/G/H
A*E/G/I
A*E/H/H
A*E/H/I
A*E/I/I
A*F/B/B
A*F/B/C
A*F/B/D
A*F/B/E
A*F/B/G
A*F/B/H
A*F/B/I
A*F/C/C
A*F/C/D
A*F/C/E
A*F/C/G
A*F/C/H
A*F/C/I
A*F/D/D
A*F/D/E
A*F/D/G
A*F/D/H
A*F/D/I
A*F/E/E
A*F/E/G
A*F/E/H
A*F/E/I
A*F/G/G
A*F/G/H
A*F/G/I
A*F/H/H
A*F/H/I
A*F/I/I
A*G/B/B
A*G/B/C
A*G/B/D
A*G/B/E
A*G/B/F
A*G/B/H
A*G/B/I
A*G/C/C
A*G/C/D
A*G/C/E
A*G/C/F
A*G/C/H
A*G/C/I
A*G/D/D
A*G/D/E
A*G/D/F
A*G/D/H
A*G/D/I
A*G/E/E
A*G/E/F
A*G/E/H
A*G/E/I
A*G/F/F
A*G/F/H
A*G/F/I
A*G/H/H
A*G/H/I
A*G/I/I
A*H/B/B
A*H/B/C
A*H/B/D
A*H/B/E
A*H/B/F
A*H/B/G
A*H/B/I
A*H/C/C
A*H/C/D
A*H/C/E
A*H/C/F
A*H/C/G
A*H/C/I
A*H/D/D
A*H/D/E
A*H/D/F
A*H/D/G
A*H/D/I
A*H/E/E
A*H/E/F
A*H/E/G
A*H/E/I
A*H/F/F
A*H/F/G
A*H/F/I
A*H/G/G
A*H/G/I
A*H/I/I
A*I/B/B
A*I/B/C
A*I/B/D
A*I/B/E
A*I/B/F
A*I/B/G
A*I/B/H
A*I/C/C
A*I/C/D
A*I/C/E
A*I/C/F
A*I/C/G
A*I/C/H
A*I/D/D
A*I/D/E
A*I/D/F
A*I/D/G
A*I/D/H
A*I/E/E
A*I/E/F
A*I/E/G
A*I/E/H
A*I/F/F
A*I/F/G
A*I/F/H
A*I/G/G
A*I/G/H
A*I/H/H
B*B/A/A
B*B/A/C
B*B/A/D
B*B/A/E
B*B/A/F
B*B/A/G
B*B/A/H
B*B/A/I
B*B/C/C
B*B/C/D
B*B/C/E
B*B/C/F
B*B/C/G
B*B/C/H
B*B/C/I
B*B/D/D
B*B/D/E
B*B/D/F
B*B/D/G
B*B/D/H
B*B/D/I
B*B/E/E
B*B/E/F
B*B/E/G
B*B/E/H
B*B/E/I
B*B/F/F
B*B/F/G
B*B/F/H
B*B/F/I
B*B/G/G
B*B/G/H
B*B/G/I
B*B/H/H
B*B/H/I
B*B/I/I
B*C/A/A
B*C/A/D
B*C/A/E
B*C/A/F
B*C/A/G
B*C/A/H
B*C/A/I
B*C/D/D
B*C/D/E
B*C/D/F
B*C/D/G
B*C/D/H
B*C/D/I
B*C/E/E
B*C/E/F
B*C/E/G
B*C/E/H
B*C/E/I
B*C/F/F
B*C/F/G
B*C/F/H
B*C/F/I
B*C/G/G
B*C/G/H
B*C/G/I
B*C/H/H
B*C/H/I
B*C/I/I
B*D/A/A
B*D/A/C
B*D/A/E
B*D/A/F
B*D/A/G
B*D/A/H
B*D/A/I
B*D/C/C
