congthuc
A*A/B
A*A/C
A*A/D
A*A/E
A*A/F
A*A/G
A*A/H
A*A/I
A*B/C
A*B/D
A*B/E
A*B/F
A*B/G
A*B/H
A*B/I
A*C/B
A*C/D
A*C/E
A*C/F
A*C/G
A*C/H
A*C/I
A*D/B
A*D/C
A*D/E
A*D/F
A*D/G
A*D/H
A*D/I
A*E/B
A*E/C
A*E/D
A*E/F
A*E/G
A*E/H
A*E/I
A*F/B
A*F/C
A*F/D
A*F/E
A*F/G
A*F/H
A*F/I
A*G/B
A*G/C
A*G/D
A*G/E
A*G/F
A*G/H
A*G/I
A*H/B
A*H/C
A*H/D
A*H/E
A*H/F
A*H/G
A*H/I
A*I/B
A*I/C
A*I/D
A*I/E
A*I/F
A*I/G
A*I/H
B*B/A
B*B/C
B*B/D
B*B/E
B*B/F
B*B/G
B*B/H
B*B/I
B*C/A
B*C/D
B*C/E
B*C/F
B*C/G
B*C/H
B*C/I
B*D/A
B*D/C
B*D/E
B*D/F
B*D/G
B*D/H
B*D/I
B*E/A
B*E/C
B*E/D
B*E/F
B*E/G
B*E/H
B*E/I
B*F/A
B*F/C
B*F/D
B*F/E
B*F/G
B*F/H
B*F/I
B*G/A
B*G/C
B*G/D
B*G/E
B*G/F
B*G/H
B*G/I
B*H/A
B*H/C
B*H/D
B*H/E
B*H/F
B*H/G
B*H/I
B*I/A
B*I/C
B*I/D
B*I/E
B*I/F
B*I/G
B*I/H
C*C/A
C*C/B
C*C/D
C*C/E
C*C/F
C*C/G
C*C/H
C*C/I
C*D/A
C*D/B
C*D/E
C*D/F
C*D/G
C*D/H
C*D/I
C*E/A
C*E/B
C*E/D
C*E/F
C*E/G
C*E/H
C*E/I
C*F/A
C*F/B
C*F/D
C*F/E
C*F/G
C*F/H
C*F/I
C*G/A
C*G/B
C*G/D
C*G/E
C*G/F
C*G/H
C*G/I
C*H/A
C*H/B
C*H/D
C*H/E
C*H/F
C*H/G
C*H/I
C*I/A
C*I/B
C*I/D
C*I/E
C*I/F
C*I/G
C*I/H
D*D/A
D*D/B
D*D/C
D*D/E
D*D/F
D*D/G
D*D/H
D*D/I
D*E/A
D*E/B
D*E/C
D*E/F
D*E/G
D*E/H
D*E/I
D*F/A
D*F/B
D*F/C
D*F/E
D*F/G
D*F/H
D*F/I
D*G/A
D*G/B
D*G/C
D*G/E
D*G/F
D*G/H
D*G/I
D*H/A
D*H/B
D*H/C
D*H/E
D*H/F
D*H/G
D*H/I
D*I/A
D*I/B
D*I/C
D*I/E
D*I/F
D*I/G
D*I/H
E*E/A
E*E/B
E*E/C
E*E/D
E*E/F
E*E/G
E*E/H
E*E/I
E*F/A
E*F/B
E*F/C
E*F/D
E*F/G
E*F/H
E*F/I
E*G/A
E*G/B
E*G/C
E*G/D
E*G/F
E*G/H
E*G/I
E*H/A
E*H/B
E*H/C
E*H/D
E*H/F
E*H/G
E*H/I
E*I/A
E*I/B
E*I/C
E*I/D
E*I/F
E*I/G
E*I/H
F*F/A
F*F/B
F*F/C
F*F/D
F*F/E
F*F/G
F*F/H
F*F/I
F*G/A
F*G/B
F*G/C
F*G/D
F*G/E
F*G/H
F*G/I
F*H/A
F*H/B
F*H/C
F*H/D
F*H/E
F*H/G
F*H/I
F*I/A
F*I/B
F*I/C
F*I/D
F*I/E
F*I/G
F*I/H
G*G/A
G*G/B
G*G/C
G*G/D
G*G/E
G*G/F
G*G/H
G*G/I
G*H/A
G*H/B
G*H/C
G*H/D
G*H/E
G*H/F
G*H/I
G*I/A
G*I/B
G*I/C
G*I/D
G*I/E
G*I/F
G*I/H
H*H/A
H*H/B
H*H/C
H*H/D
H*H/E
H*H/F
H*H/G
H*H/I
H*I/A
H*I/B
H*I/C
H*I/D
H*I/E
H*I/F
H*I/G
I*I/A
I*I/B
I*I/C
I*I/D
I*I/E
I*I/F
I*I/G
I*I/H
